
1	1	2	3	2	2	2
2	3	3	1	2	3	2
3	2	2	3	3	2	3
4	2	2	3	2	2	2
5	3	2	3	2	2	1
6	1	1	2	3	2	2
7	2	1	2	2	2	1
8	2	2	3	3	2	2
9	2	1	2	3	2	2
10	2	1	3	3	2	2
11	3	3	2	2	2	2
12	1	1	2	3	3	2
13	2	1	1	3	3	1
14	2	1	2	2	2	2
15	1	1	2	2	2	3
16	2	3	1	2	3	3
17	2	3	2	2	2	2
18	3	1	3	3	3	2
19	2	3	3	2	3	2
20	2	3	3	3	2	2
21	3	2	3	2	2	2
22	1	3	2	1	2	2
23	2	1	1	3	2	3
24	3	3	3	2	2	1
25	3	1	2	3	2	2
26	2	1	2	3	3	3
27	2	2	3	2	3	2
28	1	2	2	3	2	2
29	3	3	1	3	2	1
30	1	1	3	3	2	1
31	3	2	2	2	3	2
32	2	1	2	3	3	2
33	2	2	3	2	2	2
34	2	3	1	2	2	2
35	2	1	3	2	3	2
36	2	1	2	2	2	1
37	3	1	2	3	2	2
38	1	2	2	3	2	2
39	2	2	2	3	2	2
40	1	2	3	3	2	2
41	3	2	2	2	3	2
42	1	1	1	3	2	2
43	2	3	1	2	2	1
44	3	1	2	3	2	1
45	2	2	3	2	2	2
46	2	1	2	3	2	2
47	2	1	2	3	3	2
48	1	2	2	2	2	2
49	2	2	1	3	2	2
50	2	1	3	3	3	2
51	1	1	2	3	2	3
52	1	2	3	2	2	2
53	2	3	2	2	2	2
54	1	2	2	2	2	1
55	2	1	2	2	3	3
56	2	1	2	3	2	1
57	3	2	3	3	3	2
58	1	1	2	3	2	1
59	3	2	3	3	2	2
60	2	1	3	3	3	2
61	3	2	3	2	3	2
62	3	2	3	3	2	2
63	3	2	2	3	3	3
64	3	1	2	3	2	2
65	3	2	1	3	2	3
66	3	1	2	3	2	2
67	2	1	2	3	3	3
68	1	3	3	2	2	2
69	2	3	1	3	2	2
70	2	1	1	3	3	2
71	2	3	2	3	3	2
72	3	2	2	3	2	2
73	1	1	2	3	2	2
74	1	2	2	2	3	3
75	1	1	3	2	2	2
76	1	2	1	3	2	1
77	2	3	3	2	2	2
78	2	2	3	3	2	2
79	2	3	1	2	2	2
80	3	3	2	1	2	2
81	2	1	2	2	1	2
82	3	2	1	3	2	2
83	2	1	3	3	3	2
84	1	2	2	3	2	2
85	1	1	2	2	1	1
86	3	2	3	2	2	2
87	1	3	1	2	2	2
88	1	3	2	2	2	2
89	1	1	2	3	2	2
90	3	2	2	3	2	1
91	3	1	2	3	2	2
92	2	2	3	3	3	2
93	1	1	1	3	2	3
94	1	2	3	1	2	2
95	1	2	3	1	2	3
96	2	2	3	3	2	2
97	3	2	3	3	2	2
98	1	2	2	3	2	2
99	2	2	1	3	3	2
100	2	2	3	3	2	3
101	2	2	2	3	2	2
102	1	2	2	2	2	2
103	3	3	2	2	2	2
104	3	2	1	3	2	2
105	1	2	3	3	2	2
106	2	1	2	3	3	2
107	1	3	1	2	1	1
108	2	2	2	3	2	2
109	2	1	2	3	2	2
110	1	3	2	2	2	2
111	2	3	3	1	2	2
112	1	2	2	1	2	2
113	1	1	2	3	2	2
114	2	1	2	3	2	3
115	2	1	2	3	2	1
116	2	1	2	3	2	2
117	3	1	1	3	3	3
118	2	1	1	3	2	2
119	2	3	2	2	2	2
120	1	2	1	3	2	3
121	3	2	1	3	2	2
122	1	2	2	2	2	2
123	1	2	2	2	2	2
124	2	3	3	2	2	3
125	2	2	1	3	2	1
126	1	3	2	2	2	2
127	2	2	2	3	3	2
128	2	1	2	3	2	3
129	3	2	2	3	2	2
130	2	2	2	2	2	2
131	2	2	2	2	2	2
132	3	2	1	2	2	2
133	1	2	2	3	2	1
134	2	3	1	2	2	2
135	2	1	2	3	2	3
136	2	1	3	3	3	2
137	2	1	3	3	3	2
138	2	2	3	3	2	2
139	1	2	2	2	2	2
140	2	1	2	3	2	1
141	2	2	2	3	2	2
142	2	1	3	3	2	2
143	1	3	1	1	2	2
144	2	1	1	2	2	2
