					
201.000	1.000	0.990	0.845	0.889	0.881
201.000	2.000	0.845	0.990	0.845	0.908
201.000	3.000	0.889	0.845	0.990	0.919
201.000	4.000	0.881	0.908	0.919	0.990
202.000	1.000	0.990	0.919	0.889	0.919
202.000	2.000	0.919	0.990	0.881	0.933
202.000	3.000	0.889	0.881	0.990	0.881
202.000	4.000	0.919	0.933	0.881	0.990
203.000	1.000	0.990	0.951	0.898	0.844
203.000	2.000	0.951	0.990	0.889	0.839
203.000	3.000	0.898	0.889	0.990	0.887
203.000	4.000	0.844	0.839	0.887	0.990
204.000	1.000	0.990	0.898	0.990	0.855
204.000	2.000	0.898	0.990	0.898	0.874
204.000	3.000	0.990	0.898	0.990	0.855
204.000	4.000	0.855	0.874	0.855	0.990
205.000	1.000	0.990	0.872	0.881	0.881
205.000	2.000	0.872	0.990	0.844	0.844
205.000	3.000	0.881	0.844	0.990	0.990
205.000	4.000	0.881	0.844	0.990	0.990
206.000	1.000	0.990	0.889	0.866	0.844
206.000	2.000	0.889	0.990	0.834	0.835
206.000	3.000	0.866	0.834	0.990	0.831
206.000	4.000	0.844	0.835	0.831	0.990
207.000	1.000	0.990	0.784	0.813	0.855
207.000	2.000	0.784	0.990	0.855	0.765
207.000	3.000	0.813	0.855	0.990	0.844
207.000	4.000	0.855	0.765	0.844	0.990
208.000	1.000	0.990	0.872	0.887	0.854
208.000	2.000	0.872	0.990	0.861	0.919
208.000	3.000	0.887	0.861	0.990	0.827
208.000	4.000	0.854	0.919	0.827	0.990
209.000	1.000	0.990	0.919	0.905	0.854
209.000	2.000	0.919	0.990	0.866	0.830
209.000	3.000	0.905	0.866	0.990	0.855
209.000	4.000	0.854	0.830	0.855	0.990
210.000	1.000	0.990	0.829	0.889	0.874
210.000	2.000	0.829	0.990	0.849	0.839
210.000	3.000	0.889	0.849	0.990	0.933
210.000	4.000	0.874	0.839	0.933	0.990
211.000	1.000	0.990	0.919	0.840	0.874
211.000	2.000	0.919	0.990	0.818	0.845
211.000	3.000	0.840	0.818	0.990	0.800
211.000	4.000	0.874	0.845	0.800	0.990
212.000	1.000	0.990	0.880	0.874	0.803
212.000	2.000	0.880	0.990	0.818	0.800
212.000	3.000	0.874	0.818	0.990	0.834
212.000	4.000	0.803	0.800	0.834	0.990
213.000	1.000	0.990	0.898	0.881	0.881
213.000	2.000	0.898	0.990	0.861	0.861
213.000	3.000	0.881	0.861	0.990	0.874
213.000	4.000	0.881	0.861	0.874	0.990
214.000	1.000	0.990	0.905	0.872	0.908
214.000	2.000	0.905	0.990	0.889	0.887
214.000	3.000	0.872	0.889	0.990	0.839
214.000	4.000	0.908	0.887	0.839	0.990
215.000	1.000	0.990	0.861	0.803	0.855
215.000	2.000	0.861	0.990	0.866	0.810
215.000	3.000	0.803	0.866	0.990	0.781
215.000	4.000	0.855	0.810	0.781	0.990
216.000	1.000	0.990	0.765	0.840	0.773
216.000	2.000	0.765	0.990	0.839	0.818
216.000	3.000	0.840	0.839	0.990	0.855
216.000	4.000	0.773	0.818	0.855	0.990
217.000	1.000	0.990	0.881	0.854	0.854
217.000	2.000	0.881	0.990	0.905	0.860
217.000	3.000	0.854	0.905	0.990	0.874
217.000	4.000	0.854	0.860	0.874	0.990
218.000	1.000	0.990	0.817	0.866	0.861
218.000	2.000	0.817	0.990	0.889	0.844
218.000	3.000	0.866	0.889	0.990	0.854
218.000	4.000	0.861	0.844	0.854	0.990
219.000	1.000	0.990	0.881	0.867	0.814
219.000	2.000	0.881	0.990	0.908	0.866
219.000	3.000	0.867	0.908	0.990	0.844
219.000	4.000	0.814	0.866	0.844	0.990
220.000	1.000	0.990	0.830	0.898	0.867
220.000	2.000	0.830	0.990	0.844	0.835
220.000	3.000	0.898	0.844	0.990	0.889
220.000	4.000	0.867	0.835	0.889	0.990
221.000	1.000	0.990	0.866	0.895	0.849
221.000	2.000	0.866	0.990	0.874	0.881
221.000	3.000	0.895	0.874	0.990	0.898
221.000	4.000	0.849	0.881	0.898	0.990
222.000	1.000	0.990	0.907	0.866	0.872
222.000	2.000	0.907	0.990	0.844	0.905
222.000	3.000	0.866	0.844	0.990	0.881
222.000	4.000	0.872	0.905	0.881	0.990
223.000	1.000	0.990	0.844	0.860	0.907
223.000	2.000	0.844	0.990	0.845	0.866
223.000	3.000	0.860	0.845	0.990	0.839
223.000	4.000	0.907	0.866	0.839	0.990
224.000	1.000	0.990	0.860	0.874	0.951
224.000	2.000	0.860	0.990	0.830	0.866
224.000	3.000	0.874	0.830	0.990	0.881
224.000	4.000	0.951	0.866	0.881	0.990
225.000	1.000	0.990	0.887	0.896	0.872
225.000	2.000	0.887	0.990	0.951	0.818
225.000	3.000	0.896	0.951	0.990	0.814
225.000	4.000	0.872	0.818	0.814	0.990
226.000	1.000	0.990	0.844	0.907	0.830
226.000	2.000	0.844	0.990	0.825	0.881
226.000	3.000	0.907	0.825	0.990	0.814
226.000	4.000	0.830	0.881	0.814	0.990
227.000	1.000	0.990	0.793	0.867	0.872
227.000	2.000	0.793	0.990	0.854	0.797
227.000	3.000	0.867	0.854	0.990	0.879
227.000	4.000	0.872	0.797	0.879	0.990
228.000	1.000	0.990	0.887	0.933	0.881
228.000	2.000	0.887	0.990	0.860	0.854
228.000	3.000	0.933	0.860	0.990	0.919
228.000	4.000	0.881	0.854	0.919	0.990
229.000	1.000	0.990	0.839	0.855	0.874
229.000	2.000	0.839	0.990	0.916	0.905
229.000	3.000	0.855	0.916	0.990	0.951
229.000	4.000	0.874	0.905	0.951	0.990
230.000	1.000	0.990	0.889	0.919	0.919
230.000	2.000	0.889	0.990	0.881	0.881
230.000	3.000	0.919	0.881	0.990	0.990
230.000	4.000	0.919	0.881	0.990	0.990
231.000	1.000	0.990	0.827	0.854	0.908
231.000	2.000	0.827	0.990	0.793	0.855
231.000	3.000	0.854	0.793	0.990	0.854
231.000	4.000	0.908	0.855	0.854	0.990
232.000	1.000	0.990	0.907	0.804	0.839
232.000	2.000	0.907	0.990	0.855	0.860
232.000	3.000	0.804	0.855	0.990	0.826
