
1	30	59	42	32
2	141	126	138	76
3	23	42	2	50
4	107	43	42	116
5	87	126	107	110
6	110	127	42	126
7	86	101	59	43
8	50	116	42	78
9	130	45	95	141
10	64	132	107	129
11	14	107	59	108
12	28	76	88	52
13	127	51	83	62
14	40	42	62	83
15	40	83	33	45
16	95	15	23	62
17	48	88	126	87
18	112	42	111	94
19	125	127	126	108
20	138	15	83	43
21	10	116	42	83
22	94	111	112	42
23	107	5	27	42
24	42	59	41	83
25	112	107	94	17
26	56	15	107	62
27	42	30	116	93
28	94	111	112	72
29	40	15	136	42
30	103	112	126	111
31	126	127	77	8
32	51	127	49	69
33	73	37	29	121
34	126	45	143	98
35	107	127	121	29
36	129	42	83	23
37	45	107	24	42
38	73	108	39	51
39	101	42	59	51
40	50	30	32	64
41	111	94	112	42
42	42	94	112	111
43	76	95	126	122
44	34	61	87	103
45	12	87	42	107
46	132	59	80	83
47	50	93	42	112
48	110	107	16	126
49	43	76	34	134
50	59	51	12	114
51	86	28	59	132
52	107	143	105	24
53	42	11	107	51
54	59	46	62	76
55	107	37	30	58
56	127	103	104	14
57	136	28	87	42
58	42	15	107	23
59	141	42	72	143
60	143	8	54	27
61	4	107	45	42
62	15	45	62	60
63	131	93	74	42
64	110	65	119	107
65	126	110	134	119
66	62	63	2	72
67	126	71	105	42
68	42	50	58	105
69	65	97	27	43
70	83	97	15	43
71	66	27	40	121
72	66	45	55	42
73	58	30	113	31
74	126	43	113	59
75	119	126	8	40
76	62	43	130	107
77	74	62	107	135
78	30	42	79	40
79	30	112	143	126
80	32	42	143	107
81	32	9	42	116
82	40	45	109	26
83	51	108	127	12
84	51	49	42	107
85	107	34	50	59
86	37	18	113	59
87	11	37	116	129
88	90	17	111	42
89	9	36	50	116
90	36	50	18	59
91	131	72	62	76
92	37	76	36	142
93	36	140	73	45
94	36	129	76	72
95	36	42	59	98
96	50	55	70	40
97	5	113	76	43
98	54	76	110	42
99	42	110	97	105
100	94	36	40	42
101	15	51	36	60
102	36	42	55	66
103	71	42	76	73
104	51	107	118	36
105	132	83	71	42
106	76	98	40	126
107	50	36	77	43
108	45	57	116	36
109	84	83	42	15
110	76	83	31	54
111	27	76	83	36
112	42	4	36	27
113	36	12	88	42
114	36	84	127	45
115	113	76	51	35
116	83	57	36	76
117	107	46	61	72
118	42	73	49	51
119	36	50	131	59
120	36	46	40	42
121	40	43	42	110
122	71	45	50	57
123	110	36	40	77
124	42	110	43    77	
125	87	45	136	59
126	40	144	76	95
127	24	40	59	76
128	98	40	62	36
129	43	77	36	122
130	132	131	107	97
131	11	107	4	66
132	42	143	102	40
133	36	141	107	38
134	40	124	24	25
135	74	40	25	32
136	4	122	36	122
137	45	59	36	76
138	36	45	122	4
139	36	66	130	76
140	45	24	19	51
141	24	76	50	59
142	22	107	80	36
143	23	116	125	36
144	83	36	41	115
145	42	35	3	36
146	43	107	4	97
147	139	88	111	36
148	22	38	42	112
149	94	107	40	22
150	36	28	107	42
151	42	71	36	40
152	36	40	73	4
153	72	61	2	42
154	4	93	40	23
155	24	124	76	2
156	22	36	143	76
157	36	122	40	79
158	36	50	122	119
159	132	4	43	40
160	104	4	36	27
161	50	51	76	132
162	83	62	58	59
163	58	59	127	3
164	111	138	15	42
165	69	4	58	3
166	137	15	59	64
167	103	83	59	27
168	7	58	32	36
169	62	86	132	116
170	131	14	121	45
171	124	27	24	117
172	42	108	18	30
173	101	127	99	125
174	15	51	21	129
175	72	74	60	83
176	20	76	86	19
177	22	112	94	88
178	83	57	27	62
179	88	93	50	107
180	47	131	45	107
181	47	38	98	102
182	65	82	62	83
183	110	4	120	27
184	65	103	8	136
185	74	55	21	14
186	116	11	15	107
187	4	27	24	124
188	38	102	126	42
189	111	87	14	139
190	59	24	17	27
191	61	144	36	141
192	59	5	119	8
193	1	50	139	93
194	76	28	138	27
195	137	115	103	62
196	74	144	112	123
197	83	114	59	115
198	97	57	27	42
199	5	127	42	101
