
201	50	42	97	101
202	40	73	50	101
203	18	50	97	103
204	107	43	107	102
205	89	36	136	50
206	59	50	124	144
207	51	107	36	136
208	36	25	30	121
209	38	42	126	35
210	50	24	40	38
211	38	42	22	50
212	36	76	21	67
213	25	114	50	20
214	45	62	83	11
215	42	44	24	26
216	107	50	11	16
217	15	1	8	12
218	128	36	139	50
219	30	9	59	34
220	42	86	69	65
221	54	105	56	64
222	113	58	68	54
223	109	19	87	32
224	6	132	100	98
225	68	112	22	62
226	59	54	57	87
227	24	63	19	111
228	40	126	10	25
229	59	15	51	135
230	18	8	32	47
231	8	13	15	64
232	58	113	65	77
233	75	30	55	40
234	64	19	29	29
235	25	106	39	96
236	38	42	98	143
237	62	109	138	67
238	45	40	14	15
239	43	40	76	108
240	52	40	83	84
241	127	120	39	85
242	127	92	81	125
243	43	42	78	69
244	43	42	40	110
245	62	1	107	133
246	59	43	108	91
247	11	116	51	83
248	116	2	83	127
249	127	36	40	84
250	11	116	51	83
