
1	1	1	1
1	1	1	2
1	1	4	3
4	4	4	4
3	3	3	5
1	1	1	6
1	1	1	7
4	4	4	8
1	1	1	9
2	2	2	10
4	4	4	11
4	4	4	12
2	2	2	13
3	3	4	14
4	4	4	15
3	3	3	16
1	1	1	17
1	1	1	18
1	1	4	19
1	1	1	20
2	2	2	21
2	2	2	22
3	3	3	23
4	4	3	24
4	4	4	25
2	2	2	26
4	4	4	27
2	2	2	28
3	3	3	29
1	1	1	30
3	3	3	31
3	3	3	32
4	4	4	33
4	4	4	34
4	4	4	35
4	4	4	36
1	1	1	37
2	2	3	38
1	1	1	39
3	3	3	40
2	2	1	41
4	4	4	42
2	2	2	43
1	1	2	44
1	1	1	45
3	3	3	46
1	1	2	47
1	1	1	48
3	3	3	49
4	4	4	50
1	1	4	51
3	3	2	52
2	2	2	53
2	2	2	54
2	2	2	55
2	2	3	56
2	2	2	57
4	4	2	58
1	1	1	59
4	4	4	60
1	1	1	61
1	1	4	62
1	1	1	63
4	2	2	64
4	4	4	65
2	2	2	66
2	2	2	67
4	4	4	68
3	3	1	69
2	2	2	70
4	4	4	71
4	4	4	72
3	3	3	73
4	4	4	74
1	1	3	75
1	1	1	76
3	3	3	77
4	4	4	78
3	3	3	79
1	1	1	80
3	3	3	81
2	2	2	82
4	4	4	83
4	4	4	84
1	1	2	85
2	2	2	86
2	2	2	87
2	2	2	88
3	3	3	89
1	1	1	90
4	4	3	91
1	1	1	92
1	1	4	93
2	2	2	94
4	4	4	95
4	4	4	96
3	3	3	97
1	1	4	98
3	3	3	99
4	4	4	100
1	1	1	101
2	2	2	102
3	3	3	103
1	1	1	104
3	3	3	105
1	1	1	106
4	4	4	107
4	4	4	108
2	2	2	109
1	1	1	110
3	3	3	111
1	1	1	112
2	2	2	113
3	3	2	114
2	2	2	115
4	4	4	116
2	2	2	117
3	3	3	118
3	3	3	119
2	2	2	120
3	3	2	121
4	3	4	122
2	2	2	123
4	4	4	124
4	4	2	125
1	1	3	126
2	2	2	127
1	1	1	128
1	1	1	129
1	1	1	130
2	2	2	131
1	1	1	132
3	3	3	133
4	4	4	134
2	2	2	135
4	4	4	136
2	2	4	137
1	1	1	138
3	3	3	139
3	3	2	140
1	1	3	141
4	4	1	142
1	1	3	143
1	1	1	144
1	1	3	145
3	3	3	146
1	1	1	147
1	1	1	148
4	4	4	149
1	1	1	150
2	2	2	151
2	2	2	152
3	3	3	153
2	2	2	154
4	4	4	155
1	1	2	156
1	1	4	157
2	2	4	158
4	4	4	159
1	1	1	160
1	1	1	161
4	4	4	162
1	1	1	163
4	4	4	164
2	2	2	165
4	4	4	166
1	1	1	167
4	4	4	168
3	3	3	169
3	3	3	170
1	1	1	171
3	3	1	172
2	2	2	173
2	2	3	174
2	2	4	175
2	2	3	176
4	4	3	177
2	2	2	178
1	1	2	179
2	2	2	180
2	2	2	181
2	2	4	182
2	2	2	183
3	3	3	184
1	1	1	185
1	1	2	186
2	2	2	187
3	3	4	188
1	1	1	189
4	4	4	190
4	4	4	191
4	4	4	192
3	3	3	193
4	4	4	194
3	3	2	195
2	2	3	196
4	4	4	197
2	2	2	198
2	2	2	199
4	4	4	200
