
1	1	0.990 	0.845 	0.889 	0.881 
1	2	0.845 	0.990 	0.845 	0.908 
1	3	0.889 	0.845 	0.990 	0.919 
1	4	0.881 	0.908 	0.919 	0.990 
2	1	0.990 	0.919 	0.889 	0.919 
2	2	0.919 	0.990 	0.881 	0.933 
2	3	0.889 	0.881 	0.990 	0.881 
2	4	0.919 	0.933 	0.881 	0.990 
3	1	0.990 	0.951 	0.898 	0.844 
3	2	0.951 	0.990 	0.889 	0.839 
3	3	0.898 	0.889 	0.990 	0.887 
3	4	0.844 	0.839 	0.887 	0.990 
4	1	0.990 	0.898 	0.990 	0.855 
4	2	0.898 	0.990 	0.898 	0.874 
4	3	0.990 	0.898 	0.990 	0.855 
4	4	0.855 	0.874 	0.855 	0.990 
5	1	0.990 	0.872 	0.881 	0.881 
5	2	0.872 	0.990 	0.844 	0.844 
5	3	0.881 	0.844 	0.990 	0.990 
5	4	0.881 	0.844 	0.990 	0.990 
6	1	0.990 	0.889 	0.866 	0.844 
6	2	0.889 	0.990 	0.834 	0.835 
6	3	0.866 	0.834 	0.990 	0.831 
6	4	0.844 	0.835 	0.831 	0.990 
7	1	0.990 	0.784 	0.813 	0.855 
7	2	0.784 	0.990 	0.855 	0.765 
7	3	0.813 	0.855 	0.990 	0.844 
7	4	0.855 	0.765 	0.844 	0.990 
8	1	0.990 	0.872 	0.887 	0.854 
8	2	0.872 	0.990 	0.861 	0.919 
8	3	0.887 	0.861 	0.990 	0.827 
8	4	0.854 	0.919 	0.827 	0.990 
9	1	0.990 	0.919 	0.905 	0.854 
9	2	0.919 	0.990 	0.866 	0.830 
9	3	0.905 	0.866 	0.990 	0.855 
9	4	0.854 	0.830 	0.855 	0.990 
10	1	0.990 	0.829 	0.889 	0.874 
10	2	0.829 	0.990 	0.849 	0.839 
10	3	0.889 	0.849 	0.990 	0.933 
10	4	0.874 	0.839 	0.933 	0.990 
11	1	0.990 	0.919 	0.840 	0.874 
11	2	0.919 	0.990 	0.818 	0.845 
11	3	0.840 	0.818 	0.990 	0.800 
11	4	0.874 	0.845 	0.800 	0.990 
12	1	0.990 	0.880 	0.874 	0.803 
12	2	0.880 	0.990 	0.818 	0.800 
12	3	0.874 	0.818 	0.990 	0.834 
12	4	0.803 	0.800 	0.834 	0.990 
13	1	0.990 	0.898 	0.881 	0.881 
13	2	0.898 	0.990 	0.861 	0.861 
13	3	0.881 	0.861 	0.990 	0.874 
13	4	0.881 	0.861 	0.874 	0.990 
14	1	0.990 	0.905 	0.872 	0.908 
14	2	0.905 	0.990 	0.889 	0.887 
14	3	0.872 	0.889 	0.990 	0.839 
14	4	0.908 	0.887 	0.839 	0.990 
15	1	0.990 	0.861 	0.803 	0.855 
15	2	0.861 	0.990 	0.866 	0.810 
15	3	0.803 	0.866 	0.990 	0.781 
15	4	0.855 	0.810 	0.781 	0.990 
16	1	0.990 	0.765 	0.840 	0.773 
16	2	0.765 	0.990 	0.839 	0.818 
16	3	0.840 	0.839 	0.990 	0.855 
16	4	0.773 	0.818 	0.855 	0.990 
17	1	0.990 	0.881 	0.854 	0.854 
17	2	0.881 	0.990 	0.905 	0.860 
17	3	0.854 	0.905 	0.990 	0.874 
17	4	0.854 	0.860 	0.874 	0.990 
18	1	0.990 	0.817 	0.866 	0.861 
18	2	0.817 	0.990 	0.889 	0.844 
18	3	0.866 	0.889 	0.990 	0.854 
18	4	0.861 	0.844 	0.854 	0.990 
19	1	0.990 	0.881 	0.867 	0.814 
19	2	0.881 	0.990 	0.908 	0.866 
19	3	0.867 	0.908 	0.990 	0.844 
19	4	0.814 	0.866 	0.844 	0.990 
20	1	0.990 	0.830 	0.898 	0.867 
20	2	0.830 	0.990 	0.844 	0.835 
20	3	0.898 	0.844 	0.990 	0.889 
20	4	0.867 	0.835 	0.889 	0.990 
21	1	0.990 	0.866 	0.895 	0.849 
21	2	0.866 	0.990 	0.874 	0.881 
21	3	0.895 	0.874 	0.990 	0.898 
21	4	0.849 	0.881 	0.898 	0.990 
22	1	0.990 	0.907 	0.866 	0.872 
22	2	0.907 	0.990 	0.844 	0.905 
22	3	0.866 	0.844 	0.990 	0.881 
22	4	0.872 	0.905 	0.881 	0.990 
23	1	0.990 	0.844 	0.860 	0.907 
23	2	0.844 	0.990 	0.845 	0.866 
23	3	0.860 	0.845 	0.990 	0.839 
23	4	0.907 	0.866 	0.839 	0.990 
24	1	0.990 	0.860 	0.874 	0.951 
24	2	0.860 	0.990 	0.830 	0.866 
24	3	0.874 	0.830 	0.990 	0.881 
24	4	0.951 	0.866 	0.881 	0.990 
25	1	0.990 	0.887 	0.896 	0.872 
25	2	0.887 	0.990 	0.951 	0.818 
25	3	0.896 	0.951 	0.990 	0.814 
25	4	0.872 	0.818 	0.814 	0.990 
26	1	0.990 	0.844 	0.907 	0.830 
26	2	0.844 	0.990 	0.825 	0.881 
26	3	0.907 	0.825 	0.990 	0.814 
26	4	0.830 	0.881 	0.814 	0.990 
27	1	0.990 	0.793 	0.867 	0.872 
27	2	0.793 	0.990 	0.854 	0.797 
27	3	0.867 	0.854 	0.990 	0.879 
27	4	0.872 	0.797 	0.879 	0.990 
28	1	0.990 	0.887 	0.933 	0.881 
28	2	0.887 	0.990 	0.860 	0.854 
